icd_code,icd_version,long_title
90,9,"Infectious colitis, enteritis, and gastroenteritis"
1160,9,"Tuberculous pneumonia [any form], unspecified"
1186,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1730,9,"Tuberculosis of eye, unspecified"
1790,9,"Tuberculosis of other specified organs, unspecified"
1886,9,"Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
4149,9,Other and unspecified Escherichia coli [E. coli]
5600,9,Rubella with unspecified neurological complication
701,9,Viral hepatitis A without mention of hepatic coma
7022,9,Chronic viral hepatitis B with hepatic coma without hepatitis delta
29282,9,Drug-induced persisting dementia
29512,9,"Disorganized type schizophrenia, chronic"
29514,9,"Disorganized type schizophrenia, chronic with acute exacerbation"
29981,9,"Other specified pervasive developmental disorders, residual state"
30023,9,Social phobia
30159,9,Other histrionic personality disorder
3022,9,Pedophilia
30282,9,Voyeurism
30285,9,Gender identity disorder in adolescents or adults
30440,9,"Amphetamine and other psychostimulant dependence, unspecified"
30543,9,"Sedative, hypnotic or anxiolytic abuse, in remission"
32713,9,Recurrent hypersomnia
3373,9,Autonomic dysreflexia
33920,9,"Post-traumatic headache, unspecified"
